MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,HI_52_WK,LO_52_WK
N,SM,IDENTICAL,IDENTICAL BRAINS STUDIO L,        23.15,        23.50,        23.50,        23.15,        23.15,                   232800.00,10000, ,        90.10,        22.90
N,SM,IEML,INDIAN EMULSIFIERS LTD,        88.10,        88.00,        88.50,        88.00,        88.00,                  1851600.00,21000, ,       240.50,        86.00
N,SM,IPHL,INDIAN PHOSPHATE LIMITED,        64.50,        64.00,        65.45,        62.15,        65.45,                  1684080.00,26400, ,        82.50,        42.40
N,SM,INDIFRA,INDIFRA LIMITED,        15.90,        15.90,        15.90,        15.90,        15.90,                    31800.00,2000, ,        28.20,        12.65
N,SM,INFINIUM,INFINIUM PHARMACHEM LTD,       217.15,       224.50,       224.50,       220.90,       220.90,                   222700.00,1000, ,       337.00,       213.90
N,SM,INFLUX,INFLUX HEALTHTECH LIMITED,       235.25,       232.00,       237.95,       220.10,       225.70,                  9442650.00,41400, ,       261.95,       120.00
N,SM,INFOLLION,INFOLLION RESEARCH SER L,       375.00,       375.05,       375.05,       375.05,       375.05,                   150020.00,400, ,       575.00,       341.00
N,SM,INNOMET,INNOMET ADVANCED MATERI L,        97.75,        98.30,       103.00,        96.00,       103.00,                   651660.00,6600, ,       216.00,        88.65
N,ST,ITTL,INNOVATIVE TYRE & TUBE LT,        93.45,        93.25,        93.25,        93.25,        93.25,                     9791.25,105, ,       152.40,        18.60
N,SM,INSPIRE,INSPIRE FILMS LIMITED,        11.30,        10.80,        10.80,        10.80,        10.80,                    21600.00,2000, ,        31.00,        10.55
N,SM,INTEGRITY,INTEGRITY INFRABUILD DE L,       130.10,       130.10,       130.10,       130.00,       130.00,                   468240.00,3600, ,       145.10,        81.70
